都道府県,性別,年齢階級,転出超過数,人口,転出超過率(%)
青森県,男,0歳～4歳,13,18980,0.0685
青森県,男,5歳～9歳,-20,22328,-0.0896
青森県,男,10歳～14歳,-30,24590,-0.122
青森県,男,15歳～19歳,-625,26958,-2.3184
青森県,男,20歳～24歳,-1055,23002,-4.5866
青森県,男,25歳～29歳,-221,23886,-0.9252
青森県,男,30歳～34歳,0,27000,-0.0
青森県,男,35歳～39歳,-32,32576,-0.0982
青森県,男,40歳～44歳,-47,38178,-0.1231
青森県,男,45歳～49歳,21,42462,0.0495
青森県,男,50歳～54歳,20,39797,0.0503
青森県,男,55歳～59歳,11,40683,0.027
青森県,男,60歳～64歳,93,42345,0.2196
青森県,男,65歳～69歳,72,47562,0.1514
青森県,男,70歳～74歳,19,46936,0.0405
青森県,男,75歳～79歳,9,30776,0.0292
青森県,男,80歳～84歳,-7,23523,-0.0298
青森県,男,85歳～89歳,-19,14816,-0.1282
青森県,男,90歳以上,-8,6018,-0.1329
青森県,女,0歳～4歳,-1,18354,-0.0054
青森県,女,5歳～9歳,3,21192,0.0142
青森県,女,10歳～14歳,-42,23668,-0.1775
青森県,女,15歳～19歳,-689,25132,-2.7415
青森県,女,20歳～24歳,-1478,20852,-7.088
青森県,女,25歳～29歳,-155,22242,-0.6969
青森県,女,30歳～34歳,-18,26139,-0.0689
青森県,女,35歳～39歳,-76,32273,-0.2355
青森県,女,40歳～44歳,-35,37622,-0.093
青森県,女,45歳～49歳,-29,42864,-0.0677
青森県,女,50歳～54歳,-65,41748,-0.1557
青森県,女,55歳～59歳,3,43527,0.0069
青森県,女,60歳～64歳,30,46881,0.064
青森県,女,65歳～69歳,9,53137,0.0169
青森県,女,70歳～74歳,-38,54970,-0.0691
青森県,女,75歳～79歳,-16,43095,-0.0371
青森県,女,80歳～84歳,-73,39201,-0.1862
青森県,女,85歳～89歳,-58,31894,-0.1819
青森県,女,90歳以上,-8,21015,-0.0381
岩手県,総数,0歳～4歳,7,37344,0.0187
岩手県,総数,5歳～9歳,-28,45091,-0.0621
岩手県,総数,10歳～14歳,-61,50012,-0.122
岩手県,総数,15歳～19歳,-1215,52453,-2.3164
岩手県,総数,20歳～24歳,-2146,43292,-4.957
岩手県,総数,25歳～29歳,-557,46745,-1.1916
岩手県,総数,30歳～34歳,-88,53515,-0.1644
岩手県,総数,35歳～39歳,44,64409,0.0683
岩手県,総数,40歳～44歳,50,74894,0.0668
岩手県,総数,45歳～49歳,-90,82138,-0.1096
岩手県,総数,50歳～54歳,2,76370,0.0026
岩手県,総数,55歳～59歳,13,79659,0.0163
岩手県,総数,60歳～64歳,46,85341,0.0539
岩手県,総数,65歳～69歳,37,96055,0.0385
岩手県,総数,70歳～74歳,69,94027,0.0734
岩手県,総数,75歳～79歳,32,71267,0.0449
岩手県,総数,80歳～84歳,-31,63395,-0.0489
岩手県,総数,85歳～89歳,-11,48415,-0.0227
岩手県,総数,90歳以上,-40,31200,-0.1282
岩手県,男,0歳～4歳,-16,19059,-0.0839
岩手県,男,5歳～9歳,-24,23018,-0.1043
岩手県,男,10歳～14歳,-28,25686,-0.109
岩手県,男,15歳～19歳,-545,27012,-2.0176
岩手県,男,20歳～24歳,-786,22689,-3.4642
岩手県,男,25歳～29歳,-250,24143,-1.0355
岩手県,男,30歳～34歳,2,27432,0.0073
岩手県,男,35歳～39歳,46,32736,0.1405
岩手県,男,40歳～44歳,60,38299,0.1567
岩手県,男,45歳～49歳,-43,42221,-0.1018
岩手県,男,50歳～54歳,14,38285,0.0366
岩手県,男,55歳～59歳,28,39934,0.0701
岩手県,男,60歳～64歳,42,42286,0.0993
岩手県,男,65歳～69歳,51,47015,0.1085
岩手県,男,70歳～74歳,74,44766,0.1653
岩手県,男,75歳～79歳,28,30592,0.0915
岩手県,男,80歳～84歳,-4,24708,-0.0162
岩手県,男,85歳～89歳,1,16248,0.0062
岩手県,男,90歳以上,-11,7550,-0.1457
