種別,都道府県,年次,性別,年齢階級,人数
転入者数,秋田県,2025年,女,55歳～59歳,145
転入者数,秋田県,2025年,女,60歳～64歳,112
転入者数,秋田県,2025年,女,65歳～69歳,81
転入者数,秋田県,2025年,女,70歳～74歳,52
転入者数,秋田県,2025年,女,75歳～79歳,61
転入者数,秋田県,2025年,女,80歳～84歳,35
転入者数,秋田県,2025年,女,85歳～89歳,34
転入者数,秋田県,2025年,女,90歳以上,28
転入者数,山形県,2025年,総数,総数,11901
転入者数,山形県,2025年,総数,0歳～4歳,481
転入者数,山形県,2025年,総数,5歳～9歳,246
転入者数,山形県,2025年,総数,10歳～14歳,125
転入者数,山形県,2025年,総数,15歳～19歳,1144
転入者数,山形県,2025年,総数,20歳～24歳,2618
転入者数,山形県,2025年,総数,25歳～29歳,2060
転入者数,山形県,2025年,総数,30歳～34歳,1360
転入者数,山形県,2025年,総数,35歳～39歳,896
転入者数,山形県,2025年,総数,40歳～44歳,664
転入者数,山形県,2025年,総数,45歳～49歳,548
転入者数,山形県,2025年,総数,50歳～54歳,484
転入者数,山形県,2025年,総数,55歳～59歳,399
転入者数,山形県,2025年,総数,60歳～64歳,277
転入者数,山形県,2025年,総数,65歳～69歳,192
転入者数,山形県,2025年,総数,70歳～74歳,127
転入者数,山形県,2025年,総数,75歳～79歳,109
転入者数,山形県,2025年,総数,80歳～84歳,72
転入者数,山形県,2025年,総数,85歳～89歳,59
転入者数,山形県,2025年,総数,90歳以上,40
転入者数,山形県,2025年,男,総数,6907
転入者数,山形県,2025年,男,0歳～4歳,265
転入者数,山形県,2025年,男,5歳～9歳,119
転入者数,山形県,2025年,男,10歳～14歳,65
転入者数,山形県,2025年,男,15歳～19歳,666
転入者数,山形県,2025年,男,20歳～24歳,1505
転入者数,山形県,2025年,男,25歳～29歳,1129
転入者数,山形県,2025年,男,30歳～34歳,787
転入者数,山形県,2025年,男,35歳～39歳,532
転入者数,山形県,2025年,男,40歳～44歳,414
転入者数,山形県,2025年,男,45歳～49歳,368
転入者数,山形県,2025年,男,50歳～54歳,298
転入者数,山形県,2025年,男,55歳～59歳,270
転入者数,山形県,2025年,男,60歳～64歳,184
転入者数,山形県,2025年,男,65歳～69歳,128
転入者数,山形県,2025年,男,70歳～74歳,66
転入者数,山形県,2025年,男,75歳～79歳,61
転入者数,山形県,2025年,男,80歳～84歳,26
転入者数,山形県,2025年,男,85歳～89歳,14
転入者数,山形県,2025年,男,90歳以上,10
転入者数,山形県,2025年,女,総数,4994
転入者数,山形県,2025年,女,0歳～4歳,216
転入者数,山形県,2025年,女,5歳～9歳,127
転入者数,山形県,2025年,女,10歳～14歳,60
転入者数,山形県,2025年,女,15歳～19歳,478
転入者数,山形県,2025年,女,20歳～24歳,1113
転入者数,山形県,2025年,女,25歳～29歳,931
転入者数,山形県,2025年,女,30歳～34歳,573
転入者数,山形県,2025年,女,35歳～39歳,364
転入者数,山形県,2025年,女,40歳～44歳,250
転入者数,山形県,2025年,女,45歳～49歳,180
転入者数,山形県,2025年,女,50歳～54歳,186
転入者数,山形県,2025年,女,55歳～59歳,129
転入者数,山形県,2025年,女,60歳～64歳,93
転入者数,山形県,2025年,女,65歳～69歳,64
転入者数,山形県,2025年,女,70歳～74歳,61
転入者数,山形県,2025年,女,75歳～79歳,48
転入者数,山形県,2025年,女,80歳～84歳,46
転入者数,山形県,2025年,女,85歳～89歳,45
転入者数,山形県,2025年,女,90歳以上,30
転入者数,福島県,2025年,総数,総数,22788
転入者数,福島県,2025年,総数,0歳～4歳,920
転入者数,福島県,2025年,総数,5歳～9歳,538
転入者数,福島県,2025年,総数,10歳～14歳,294
転入者数,福島県,2025年,総数,15歳～19歳,1335
転入者数,福島県,2025年,総数,20歳～24歳,4794
転入者数,福島県,2025年,総数,25歳～29歳,3931
転入者数,福島県,2025年,総数,30歳～34歳,2626
